id	type	canonicalForm	description	predicate	event	activity	actor	object	inverse	source	vocabulary
benchmark	Verb	benchmark	Compare performance against industry standards or best practices	benchmarks	benchmarked	benchmarking	Benchmarker	Benchmark	benchmarkedBy	https://www.apqc.org/	APQC PCF 7.0
budget	Verb	budget	Plan and allocate financial resources for future periods	budgets	budgeted	budgeting	Budgeter	Budget	budgetedBy	https://www.apqc.org/	APQC PCF 7.0
calculate	Verb	calculate	Computing or determining mathematical values or results based on data and formulas	calculates	calculated	calculating	Calculator	Calculation	calculatedBy	https://www.onetonline.org/	O*NET 28.0
cancel	Verb	cancel	Canceling an action that was previously scheduled	cancels	canceled	canceling	Canceler	Cancellation	canceledBy	https://schema.org/Action	Schema.org 27.0
capture	Verb	capture	Recording an observation or information	captures	captured	capturing	Capturer	Capture	capturedBy	https://schema.org/Action	Schema.org 27.0
certify	Verb	certify	Formally attest or validate that standards are met	certifies	certified	certifying	Certifier	Certification	certifiedBy	https://www.apqc.org/	APQC PCF 7.0
check	Verb	check	Checking an object for correctness or validity	checks	checked	checking	Checker	Check	checkedBy	https://schema.org/Action	Schema.org 27.0
choose	Verb	choose	Selecting one or more items from a collection	chooses	chosen	choosing	Chooser	Choice	chosenBy	https://schema.org/Action	Schema.org 27.0
classify	Verb	classify	Assigning a category or classification to an object	classifies	classified	classifying	Classifier	Classification	classifiedBy	https://schema.org/Action	Schema.org 27.0
clean	Verb	clean	Removing dirt, waste, or unwanted material from surfaces, objects, or areas to maintain cleanliness and hygiene	cleans	cleaned	cleaning	Cleaner	Cleaning	cleanedBy	https://www.onetonline.org/	O*NET 28.0
close	Verb	close	To move or cause to move into a position where something is no longer open; to shut or seal.	closes	closed	closing	Closer	Closure	closedBy	https://schema.org/Action	Schema.org 27.0
collect	Verb	collect	Gathering objects together	collects	collected	collecting	Collector	Collection	collectedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
comment	Verb	comment	To make remarks or observations, typically in response to something or someone; to provide feedback or notes.	comments	commented	commenting	Commenter	Commentary	commentedBy	https://schema.org/Action	Schema.org 27.0
commission	Verb	commission	Assigning a unique identity to an object	commissions	commissioned	commissioning	Commissioner	Commission	commissionedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
communicate	Verb	communicate	To convey or exchange information, ideas, or feelings between parties; to impart knowledge or establish understanding.	communicates	communicated	communicating	Communicator	Communication	communicatedBy	https://schema.org/Action	Schema.org 27.0
compare	Verb	compare	To examine similarities and differences between two or more things; to estimate or judge the relative value of alternatives.	compares	compared	comparing	Comparer	Comparison	comparedBy	https://schema.org/Action	Schema.org 27.0
compile	Verb	compile	Collecting, assembling, and organizing information or materials from multiple sources into a unified document or system	compiles	compiled	compiling	Compiler	Compilation	compiledBy	https://www.onetonline.org/	O*NET 28.0
complete	Verb	complete	To finish or bring to an end; to make whole or entire by adding what is missing.	completes	completed	completing	Completer	Completion	completedBy	https://schema.org/Action	Schema.org 27.0
comply	Verb	comply	Act in accordance with laws, regulations, or organizational policies	complies	complied	complying	Complier	Compliance	compliedWith	https://www.apqc.org/	APQC PCF 7.0
compute	Verb	compute	To calculate or determine by mathematical operations or logical reasoning; to process data.	computes	computed	computing	Computer	Computation	computedBy	https://schema.org/Action	Schema.org 27.0
conduct	Verb	conduct	Directing, leading, managing, or carrying out activities, events, or operations in a structured manner	conducts	conducted	conducting	Conductor	Conduct	conductedBy	https://www.onetonline.org/	O*NET 28.0
configure	Verb	configure	To arrange, set up, or adjust components or settings to prepare for use or operation.	configures	configured	configuring	Configurator	Configuration	configuredBy	https://schema.org/Action	Schema.org 27.0
confirm	Verb	confirm	To establish or strengthen the truth or validity of something; to acknowledge or verify.	confirms	confirmed	confirming	Confirmer	Confirmation	confirmedBy	https://schema.org/Action	Schema.org 27.0
connect	Verb	connect	To join or link together; establish a connection or relationship between entities.	connects	connected	connecting	Connector	Connection	connectedBy	https://schema.org/Action	Schema.org 27.0
consign	Verb	consign	Handing over responsibility for shipment	consigns	consigned	consigning	Consigner	Consignment	consignedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
consult	Verb	consult	Providing professional advice or seeking expert opinion	consults	consulted	consulting	Consultant	Consultation	consultedBy	https://www.onetonline.org/	O*NET 28.0
consume	Verb	consume	To use up or take in resources, materials, or products; to use something completely.	consumes	consumed	consuming	Consumer	Consumption	consumedBy	https://schema.org/Action	Schema.org 27.0
contract	Verb	contract	Establish a formal binding agreement between parties	contracts	contracted	contracting	Contracter	Contract	contractedWith	https://www.apqc.org/	APQC PCF 7.0
control	Verb	control	Managing or regulating the operation, flow, or behavior of systems, processes, or people	controls	controlled	controlling	Controller	Control	controlledBy	https://www.onetonline.org/	O*NET 28.0
convert	Verb	convert	To change something into a different form, substance, or state; transform or convert.	converts	converted	converting	Converter	Conversion	convertedBy	https://schema.org/Action	Schema.org 27.0
coordinate	Verb	coordinate	Organizing and harmonizing activities, efforts, or resources across multiple parties	coordinates	coordinated	coordinating	Coordinator	Coordination	coordinatedBy	https://www.onetonline.org/	O*NET 28.0
copy	Verb	copy	To make a duplicate or reproduction of something; replicate or reproduce.	copies	copied	copying	Copier	Copy	copiedBy	https://schema.org/Action	Schema.org 27.0
counsel	Verb	counsel	Providing guidance, support, and advice to individuals regarding personal, professional, or emotional matters	counsels	counseled	counseling	Counselor	Counseling	counseledBy	https://www.onetonline.org/	O*NET 28.0
count	Verb	count	Periodic inventory counting (cycle_counting)	counts	counted	counting	Counter	Count	countedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
create	Verb	create	Creating a class-level instance	creates	created	creating	Creator	Creation	createdBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
customize	Verb	customize	Modify or tailor products or services for specific customer needs	customizes	customized	customizing	Customizer	Customization	customizedBy	https://www.apqc.org/	APQC PCF 7.0
deactivate	Verb	deactivate	To turn off, disable, or remove from active use; make inactive.	deactivates	deactivated	deactivating	Deactivator	Deactivation	deactivatedBy	https://schema.org/Action	Schema.org 27.0
debug	Verb	debug	Identifying and resolving errors, defects, or malfunctions in systems, software, or processes	debugs	debugged	debugging	Debugger	Debugging	debuggedBy	https://www.onetonline.org/	O*NET 28.0
decide	Verb	decide	Making a choice or determination among options or alternatives based on analysis and judgment	decides	decided	deciding	Decider	Decision	decidedBy	https://www.onetonline.org/	O*NET 28.0
declare	Verb	declare	To announce, state, or proclaim something formally or officially; make a declaration.	declares	declared	declaring	Declarer	Declaration	declaredBy	https://schema.org/Action	Schema.org 27.0
decline	Verb	decline	To politely refuse or reject something; express unwillingness to accept or participate.	declines	declined	declining	Decliner	Decline	declinedBy	https://schema.org/Action	Schema.org 27.0
decommission	Verb	decommission	Removing an object from active use, typically after it has reached the end of its operational life.	decommissions	decommissioned	decommissioning	Decommissioner	Decommissioning	decommissionedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
delete	Verb	delete	To remove, erase, or destroy; eliminate something permanently or temporarily.	deletes	deleted	deleting	Deleter	Deletion	deletedBy	https://schema.org/Action	Schema.org 27.0
deliver	Verb	deliver	Transporting and handing over goods to a recipient	delivers	delivered	delivering	Deliverer	Delivery	deliveredBy	https://schema.org/Action	Schema.org 27.0
demonstrate	Verb	demonstrate	Showing, proving, or exhibiting something through explanation, illustration, or practical example	demonstrates	demonstrated	demonstrating	Demonstrator	Demonstration	demonstratedBy	https://www.onetonline.org/	O*NET 28.0
depart	Verb	depart	Leaving a location, typically as part of a transportation or logistics operation.	departs	departed	departing	Departer	Departure	departedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
deploy	Verb	deploy	Moving or positioning something into active use	deploys	deployed	deploying	Deployer	Deployment	deployedBy	https://schema.org/Action	Schema.org 27.0
design	Verb	design	Creating plans, specifications, or layouts for new products, systems, structures, or processes	designs	designed	designing	Designer	Design	designedBy	https://www.onetonline.org/	O*NET 28.0
destroy	Verb	destroy	Permanently removing an object from use through destruction or disposal.	destroys	destroyed	destroying	Destroyer	Destruction	destroyedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
determine	Verb	determine	To establish or discover the exact nature or value of something; to decide or resolve a matter	determines	determined	determining	Determiner	Determination	determinedBy	https://www.onetonline.org/	O*NET 28.0
develop	Verb	develop	To create, improve, or advance something gradually or systematically; to bring something to a more advanced or complete state	develops	developed	developing	Developer	Development	developedBy	https://www.onetonline.org/	O*NET 28.0
diagnose	Verb	diagnose	To identify the nature or cause of a problem, disease, or condition through examination and analysis	diagnoses	diagnosed	diagnosing	Diagnostician	Diagnosis	diagnosedBy	https://www.onetonline.org/	O*NET 28.0
direct	Verb	direct	To guide, control, or supervise the actions, activities, or operations of people or processes; to point or aim something toward a target	directs	directed	directing	Director	Direction	directedBy	https://www.onetonline.org/	O*NET 28.0
disable	Verb	disable	Making something inoperative or unavailable	disables	disabled	disabling	Disabler	Disabling	disabledBy	https://schema.org/Action	Schema.org 27.0
disassemble	Verb	disassemble	Breaking down a finished product into its component parts.	disassembles	disassembled	disassembling	Disassembler	Disassembly	disassembledBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
discontinue	Verb	discontinue	End or stop production or support of a product or service	discontinues	discontinued	discontinuing	Discontinuer	Discontinuation	discontinuedBy	https://www.apqc.org/	APQC PCF 7.0
discover	Verb	discover	Finding or learning about something previously unknown	discovers	discovered	discovering	Discoverer	Discovery	discoveredBy	https://schema.org/Action	Schema.org 27.0
discuss	Verb	discuss	To exchange views, ideas, or opinions about a topic; to talk over or debate a subject with others	discusses	discussed	discussing	Discussant	Discussion	discussedBy	https://www.onetonline.org/	O*NET 28.0
dispatch	Verb	dispatch	Send out orders, shipments, or personnel to designated locations	dispatches	dispatched	dispatching	Dispatcher	Dispatch	dispatchedBy	https://www.apqc.org/	APQC PCF 7.0
dispense	Verb	dispense	Allocating or distributing goods to recipients, often in measured quantities.	dispenses	dispensed	dispensing	Dispenser	Dispensing	dispensedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
distribute	Verb	distribute	Spreading or dividing something among multiple recipients or locations	distributes	distributed	distributing	Distributor	Distribution	distributedBy	https://schema.org/Action	Schema.org 27.0
document	Verb	document	To record, write, or create written evidence or proof of something; to create documentation for reference and records	documents	documented	documenting	Documentarian	Documentation	documentedBy	https://www.onetonline.org/	O*NET 28.0
download	Verb	download	Transferring data from a remote source to a local device	downloads	downloaded	downloading	Downloader	Download	downloadedBy	https://schema.org/Action	Schema.org 27.0
draft	Verb	draft	To prepare a preliminary version of a written document, plan, or design; to create an initial or rough version for review and refinement	drafts	drafted	drafting	Drafter	Draft	draftedBy	https://www.onetonline.org/	O*NET 28.0
drive	Verb	drive	To operate a vehicle; to propel or cause to move forward; to motivate or compel action toward a goal	drives	drove	driving	Driver	Drive	drivenBy	https://www.onetonline.org/	O*NET 28.0
edit	Verb	edit	Revising or modifying content to correct or improve it	edits	edited	editing	Editor	Editing	editedBy	https://schema.org/Action	Schema.org 27.0
educate	Verb	educate	Teaching others through instruction and training	educates	educated	educating	Educator	Education	educatedBy	https://www.onetonline.org/	O*NET 28.0
enable	Verb	enable	Making something operational, available, or capable of functioning	enables	enabled	enabling	Enabler	Enabling	enabledBy	https://schema.org/Action	Schema.org 27.0
encode	Verb	encode	Writing data to an RFID tag, barcode, or other storage medium.	encodes	encoded	encoding	Encoder	Encoding	encodedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
endorse	Verb	endorse	Give approval or permission to; publicly declare support for; recommend as worthy.	endorses	endorsed	endorsing	Endorser	Endorsement	endorsedBy	https://schema.org/Action	Schema.org 27.0
enforce	Verb	enforce	Compelling compliance with rules, standards, or requirements	enforces	enforced	enforcing	Enforcer	Enforcement	enforcedBy	https://www.onetonline.org/	O*NET 28.0
engage	Verb	engage	Actively involving others in interaction, communication, or activity	engages	engaged	engaging	Engager	Engagement	engagedBy	https://www.onetonline.org/	O*NET 28.0
enter	Verb	enter	Passing through a portal or boundary, such as entering a facility or geographic location.	enters	entered	entering	Enterer	Entry	enteredBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
escalate	Verb	escalate	Raise issues or concerns to higher authority or management levels	escalates	escalated	escalating	Escalator	Escalation	escalatedBy	https://www.apqc.org/	APQC PCF 7.0
establish	Verb	establish	Creating, founding, or setting up something new	establishes	established	establishing	Establisher	Establishment	establishedBy	https://www.onetonline.org/	O*NET 28.0
estimate	Verb	estimate	Judging or calculating approximate values, quantities, or outcomes	estimates	estimated	estimating	Estimator	Estimate	estimatedBy	https://www.onetonline.org/	O*NET 28.0
evaluate	Verb	evaluate	Assess or determine the significance, value, or condition of something; appraise or judge.	evaluates	evaluated	evaluating	Evaluator	Evaluation	evaluatedBy	https://schema.org/Action	Schema.org 27.0
examine	Verb	examine	Inspecting or investigating something carefully and thoroughly	examines	examined	examining	Examiner	Examination	examinedBy	https://www.onetonline.org/	O*NET 28.0
execute	Verb	execute	Carry out or perform a task, plan, or instruction; put into action.	executes	executed	executing	Executor	Execution	executedBy	https://schema.org/Action	Schema.org 27.0
explain	Verb	explain	Making something clear or understandable through description or discussion	explains	explained	explaining	Explainer	Explanation	explainedBy	https://www.onetonline.org/	O*NET 28.0
export	Verb	export	Send out or transfer data, goods, or information to an external location, system, or format.	exports	exported	exporting	Exporter	Export	exportedBy	https://schema.org/Action	Schema.org 27.0
extract	Verb	extract	Remove, pull out, or obtain something from a location, source, or substance; derive or obtain from text.	extracts	extracted	extracting	Extractor	Extraction	extractedBy	https://schema.org/Action	Schema.org 27.0
facilitate	Verb	facilitate	Making something easier or helping to bring about an outcome	facilitates	facilitated	facilitating	Facilitator	Facilitation	facilitatedBy	https://www.onetonline.org/	O*NET 28.0
fail	Verb	fail	Be unsuccessful in achieving an objective or task; cease to function or work.	fails	failed	failing	Failer	Failure	failedBy	https://schema.org/Action	Schema.org 27.0
filter	Verb	filter	Remove impurities or unwanted elements from something; select or distinguish items based on criteria.	filters	filtered	filtering	Filterer	Filter	filteredBy	https://schema.org/Action	Schema.org 27.0
finalize	Verb	finalize	Complete and put into final form; make definite or conclusive; settle finally.	finalizes	finalized	finalizing	Finalizer	Finalization	finalizedBy	https://schema.org/Action	Schema.org 27.0
find	Verb	find	Locate, discover, or obtain something that was sought; determine or establish the existence or location of.	finds	found	finding	Finder	Finding	foundBy	https://schema.org/Action	Schema.org 27.0
forecast	Verb	forecast	Predicting or estimating future trends, events, or conditions	forecasts	forecasted	forecasting	Forecaster	Forecast	forecastedBy	https://www.onetonline.org/	O*NET 28.0
formulate	Verb	formulate	Creating or developing a specific formula, plan, or theory	formulates	formulated	formulating	Formulator	Formulation	formulatedBy	https://www.onetonline.org/	O*NET 28.0
fulfill	Verb	fulfill	Complete orders and deliver products or services to customers	fulfills	fulfilled	fulfilling	Fulfiller	Fulfillment	fulfilledBy	https://www.apqc.org/	APQC PCF 7.0
generate	Verb	generate	Producing or creating something from raw materials or processes	generates	generated	generating	Generator	Generation	generatedBy	https://www.onetonline.org/	O*NET 28.0
guide	Verb	guide	Directing, leading, or providing direction to someone or something	guides	guided	guiding	Guide	Guidance	guidedBy	https://www.onetonline.org/	O*NET 28.0
handle	Verb	handle	Managing, dealing with, or taking care of something or someone	handles	handled	handling	Handler	Handling	handledBy	https://www.onetonline.org/	O*NET 28.0
hold	Verb	hold	Retaining possession of goods or objects, typically in storage.	holds	held	holding	Holder	Holding	heldBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
identify	Verb	identify	Recognizing, naming, or determining the nature of something	identifies	identified	identifying	Identifier	Identification	identifiedBy	https://www.onetonline.org/	O*NET 28.0
implement	Verb	implement	Putting a plan, system, or decision into action or effect	implements	implemented	implementing	Implementer	Implementation	implementedBy	https://www.onetonline.org/	O*NET 28.0
improve	Verb	improve	Making something better or enhancing quality, performance, or value	improves	improved	improving	Improver	Improvement	improvedBy	https://www.onetonline.org/	O*NET 28.0
inform	Verb	inform	Providing information, knowledge, or communication to other people or systems	informs	informed	informing	Informer	Information	informedBy	https://www.onetonline.org/	O*NET 28.0
initiate	Verb	initiate	Starting or beginning a process, action, project, or sequence of events	initiates	initiated	initiating	Initiator	Initiation	initiatedBy	https://www.onetonline.org/	O*NET 28.0
innovate	Verb	innovate	Creating or introducing new ideas, methods, products, or approaches	innovates	innovated	innovating	Innovator	Innovation	innovatedBy	https://www.onetonline.org/	O*NET 28.0
inspect	Verb	inspect	Examining goods or materials for quality, compliance, or condition verification	inspects	inspected	inspecting	Inspector	Inspection	inspectedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
install	Verb	install	Putting equipment or products into service or operational use	installs	installed	installing	Installer	Installation	installedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
integrate	Verb	integrate	Combining or coordinating separate elements into a unified or cohesive whole	integrates	integrated	integrating	Integrator	Integration	integratedBy	https://www.onetonline.org/	O*NET 28.0
interpret	Verb	interpret	Explaining the meaning or significance of information, data, language, or events	interprets	interpreted	interpreting	Interpreter	Interpretation	interpretedBy	https://www.onetonline.org/	O*NET 28.0
interview	Verb	interview	Conducting a formal conversation or questioning to gather information or assess candidates	interviews	interviewed	interviewing	Interviewer	Interview	interviewedBy	https://www.onetonline.org/	O*NET 28.0
investigate	Verb	investigate	Conducting a systematic and detailed examination to discover facts or solve a problem	investigates	investigated	investigating	Investigator	Investigation	investigatedBy	https://www.onetonline.org/	O*NET 28.0
invoice	Verb	invoice	Create and send billing documents for goods or services delivered	invoices	invoiced	invoicing	Invoicer	Invoice	invoicedBy	https://www.apqc.org/	APQC PCF 7.0
kill	Verb	kill	Permanently disabling or deactivating an RFID tag or tracking device	kills	killed	killing	Killer	Killing	killedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
lead	Verb	lead	Guiding, directing, or influencing a group toward a goal or objective	leads	led	leading	Leader	Leadership	ledBy	https://www.onetonline.org/	O*NET 28.0
learn	Verb	learn	Acquiring knowledge, skills, or understanding through study, experience, or instruction	learns	learned	learning	Learner	Learning	learnedBy	https://www.onetonline.org/	O*NET 28.0
liquidate	Verb	liquidate	Sell off remaining inventory or assets to convert to cash	liquidates	liquidated	liquidating	Liquidator	Liquidation	liquidatedBy	https://www.apqc.org/	APQC PCF 7.0
load	Verb	load	Placing goods onto a transport vehicle for shipment or transfer	loads	loaded	loading	Loader	Loading	loadedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
maintain	Verb	maintain	Keeping equipment, systems, or processes in proper working condition through regular upkeep	maintains	maintained	maintaining	Maintainer	Maintenance	maintainedBy	https://www.onetonline.org/	O*NET 28.0
manage	Verb	manage	Directing, controlling, or overseeing activities, resources, or personnel to achieve organizational objectives	manages	managed	managing	Manager	Management	managedBy	https://www.onetonline.org/	O*NET 28.0
manufacture	Verb	manufacture	Produce goods through transformation of raw materials or components	manufactures	manufactured	manufacturing	Manufacturer	Manufactured	manufacturedBy	https://www.apqc.org/	APQC PCF 7.0
market	Verb	market	Promote and advertise products or services to target customers	markets	marketed	marketing	Marketer	Marketing	marketedBy	https://www.apqc.org/	APQC PCF 7.0
measure	Verb	measure	Determining the size, quantity, extent, or magnitude of something using specific units or standards	measures	measured	measuring	Measurer	Measurement	measuredBy	https://www.onetonline.org/	O*NET 28.0
mediate	Verb	mediate	Acting as an intermediary or neutral party to resolve conflicts or facilitate agreements between parties	mediates	mediated	mediating	Mediator	Mediation	mediatedBy	https://www.onetonline.org/	O*NET 28.0
merge	Verb	merge	Combine entities, data, or operations into a single consolidated unit	merges	merged	merging	Merger	Merger	mergedWith	https://www.apqc.org/	APQC PCF 7.0
modify	Verb	modify	Changing or altering something to suit different requirements, conditions, or preferences	modifies	modified	modifying	Modifier	Modification	modifiedBy	https://www.onetonline.org/	O*NET 28.0
monitor	Verb	monitor	Observing, tracking, or keeping watch over activities, conditions, or performance to detect changes or problems	monitors	monitored	monitoring	Monitor	Monitoring	monitoredBy	https://www.onetonline.org/	O*NET 28.0
motivate	Verb	motivate	Stimulating or inspiring people to take action or achieve goals through encouragement and incentives	motivates	motivated	motivating	Motivator	Motivation	motivatedBy	https://www.onetonline.org/	O*NET 28.0
negotiate	Verb	negotiate	Discussing and reaching agreement on terms, conditions, or solutions through dialogue	negotiates	negotiated	negotiating	Negotiator	Negotiation	negotiatedBy	https://www.onetonline.org/	O*NET 28.0
observe	Verb	observe	Watching carefully and noticing details, behaviors, or changes in a situation	observes	observed	observing	Observer	Observation	observedBy	https://www.onetonline.org/	O*NET 28.0
onboard	Verb	onboard	Integrate new employees, customers, or suppliers into organizational systems	onboards	onboarded	onboarding	Onboarder	Onboarding	onboardedBy	https://www.apqc.org/	APQC PCF 7.0
operate	Verb	operate	Controlling and directing the functioning of machinery, equipment, systems, or organizations	operates	operated	operating	Operator	Operation	operatedBy	https://www.onetonline.org/	O*NET 28.0
optimize	Verb	optimize	Improving efficiency or performance by adjusting variables and removing inefficiencies	optimizes	optimized	optimizing	Optimizer	Optimization	optimizedBy	https://www.onetonline.org/	O*NET 28.0
organize	Verb	organize	Arranging, structuring, or coordinating elements into a systematic order or coherent whole	organizes	organized	organizing	Organizer	Organization	organizedBy	https://www.onetonline.org/	O*NET 28.0
outsource	Verb	outsource	Transfer operations or functions to external service providers	outsources	outsourced	outsourcing	Outsourcer	Outsourcing	outsourcedBy	https://www.apqc.org/	APQC PCF 7.0
oversee	Verb	oversee	Supervising, monitoring, and taking responsibility for the work of others or operations	oversees	oversaw	overseeing	Overseer	Oversight	overseenBy	https://www.onetonline.org/	O*NET 28.0
pack	Verb	pack	Placing items into packaging for shipment, storage, or sale	packs	packed	packing	Packer	Packing	packedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
participate	Verb	participate	Taking part in an activity, discussion, project, or group effort	participates	participated	participating	Participant	Participation	participatedBy	https://www.onetonline.org/	O*NET 28.0
perform	Verb	perform	Executing, carrying out, or presenting an action or task to achieve a desired result	performs	performed	performing	Performer	Performance	performedBy	https://www.onetonline.org/	O*NET 28.0
pick	Verb	pick	Selecting items from inventory for fulfillment or use	picks	picked	picking	Picker	Picking	pickedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
plan	Verb	plan	Deciding on a course of action or determining what will be done to achieve objectives	plans	planned	planning	Planner	Plan	plannedBy	https://www.onetonline.org/	O*NET 28.0
prepare	Verb	prepare	Making ready or getting something into a suitable condition for use or action	prepares	prepared	preparing	Preparer	Preparation	preparedBy	https://www.onetonline.org/	O*NET 28.0
present	Verb	present	Giving information or displaying something to an audience in a prepared manner	presents	presented	presenting	Presenter	Presentation	presentedBy	https://www.onetonline.org/	O*NET 28.0
prioritize	Verb	prioritize	Determining the order of importance or sequence in which tasks or items should be addressed	prioritizes	prioritized	prioritizing	Prioritizer	Prioritization	prioritizedBy	https://www.onetonline.org/	O*NET 28.0
process	Verb	process	Performing a series of steps or operations to handle, handle, or transform something	processes	processed	processing	Processor	Processing	processedBy	https://www.onetonline.org/	O*NET 28.0
procure	Verb	procure	Obtain needed goods or services through formal purchasing processes	procures	procured	procuring	Procurer	Procurement	procuredBy	https://www.apqc.org/	APQC PCF 7.0
produce	Verb	produce	Making or generating something, whether through manufacturing, creation, or preparation	produces	produced	producing	Producer	Production	producedBy	https://www.onetonline.org/	O*NET 28.0
program	Verb	program	Writing computer code, creating instructions, or scheduling operations or events	programs	programmed	programming	Programmer	Programming	programmedBy	https://www.onetonline.org/	O*NET 28.0
promote	Verb	promote	Advancing someone's career position or publicizing and encouraging the adoption of something	promotes	promoted	promoting	Promoter	Promotion	promotedBy	https://www.onetonline.org/	O*NET 28.0
propose	Verb	propose	Putting forward an idea, plan, or solution for consideration or discussion	proposes	proposed	proposing	Proposer	Proposal	proposedBy	https://www.onetonline.org/	O*NET 28.0
protect	Verb	protect	Taking actions to keep someone or something safe from harm, damage, or loss	protects	protected	protecting	Protector	Protection	protectedBy	https://www.onetonline.org/	O*NET 28.0
provide	Verb	provide	Supplying, furnishing, or making something available to someone	provides	provided	providing	Provider	Provision	providedBy	https://www.onetonline.org/	O*NET 28.0
publish	Verb	publish	Making content, information, or material publicly available through print, digital, or other media	publishes	published	publishing	Publisher	Publication	publishedBy	https://www.onetonline.org/	O*NET 28.0
purchase	Verb	purchase	Acquiring goods, services, or assets by buying them in exchange for payment	purchases	purchased	purchasing	Purchaser	Purchase	purchasedBy	https://www.onetonline.org/	O*NET 28.0
